word	frq	familiarity	imageability	concreteness	
adultos	8.725645				
aglomeración	0.076649				
aislado	3.511028				
alcohol	13.463060	6.447	6.090	5.592	
apertura	3.436851	5.434	3.994	3.549	
aplastar	2.235189	4.930	3.435	4.424	
barbijo	0.044506				
bicho	4.408565	6.149	5.760	3.331	
boca	39.800712	6.515	6.223	6.014	
brote	1.451390				
burbuja	1.879142				
camas	4.408565				
casa	91.855405	6.759	6.575	5.631	
caso	63.312234	5.921	3.046	2.438	
cepa	0.603303				
china	10.508357				
científicos	5.657205				
circulación	2.739591	6.131	5.379	3.411	
clases	17.631787				
cloro	0.786272	5.428	4.717	5.727	
combatir	4.339333	4.754	4.328	3.626	
confirmado	4.873405				
contacto	28.543171	6.127	4.964	3.397	
contactos	6.292652				
contagioso	1.604688				
convivencia	0.452477	6.084	4.626	3.923	
corona	5.236871	3.123	5.557	5.557	
crisis	10.782811	6.352	3.955	3.816	
cuarentena	1.832163				
cura	11.213035	5.914	5.455	4.311	
curva	3.585204	6.597	6.194	5.716	
depresión	4.430818	5.833	4.770	4.286	
desinfección	0.103847				
distancia	18.801306	5.279	2.960		
encierro	1.176936	4.296	4.957	4.370	
ensayo	6.576995	5.048	3.760	4.476	
epidemia	2.012659	5.463	3.978	4.935	
erradicar	0.717041				
esencial	4.732470				
esperanza	23.402730	6.063	3.974	3.806	
estrecho	2.371180	6.383	5.518	5.430	
estudio	17.300465	6.235	5.470	4.076	
exponencial	0.225002				
extrañar	4.653348	5.428	3.613	4.117	
fallecidos	0.568688				
fase	6.317377	5.233		3.277	
fiebre	8.742953	5.271	4.784	5.700	
foco	2.279695	5.931	5.758	4.993	
garganta	10.451488	6.460	5.090	5.587	
gel	0.971714				
grave	20.687865				
grupo	34.689942	6.232	5.588	4.183	
higiene	1.626941				
incertidumbre	1.167046	4.330	3.430	3.552	
incubación	0.304124				
infección	4.665711	5.061	4.464	5.134	
inmunidad	2.104144				
intensiva	0.726931				
internet	10.575116				
juntarse	1.023638				
lavado	5.377806				
limpieza	8.552567	6.077	4.909	4.629	
máscara	5.523687	5.301	6.193	4.844	
mayores	13.846306				
medicamento	2.630798				
medidas	7.143210				
medios	11.106715				
metros	17.587281				
millón	17.384532				
muertes	6.861339				
murciélago	1.540402	5.922	6.428	6.578	
mutación	0.902482	4.322	4.026	4.613	
negativo	8.399268				
normalidad	4.082188	5.710	2.253	2.142	
noticias	40.905944				
ola	3.906636	6.624	6.122	5.067	
olfato	1.740678	5.378	3.902	5.415	
oxígeno	5.217090	5.390	3.507	6.104	
pandemia	0.153298				
parte	83.666304	5.690	3.504	2.349	
positivo	8.097616				
prevención	0.791217	5.683	3.186	3.517	
protocolo	4.598952	4.272	3.019	4.659	
quedarse	25.331322	5.467	3.718	4.495	
rebaño	2.116507	4.582	6.184	5.410	
remedio	7.946791	6.124	3.699	4.034	
reporte	7.390466				
responsabilidad	17.065572	5.529	3.936	3.638	
restricción	1.364850	3.773	2.748	3.572	
reuniones	7.148155				
salud	25.764019	6.579	4.153	4.464	
seguimiento	2.583820	4.258	3.528	4.366	
segunda	6.166551				
síntomas	4.861042				
social	12.736129				
sospechoso	14.086144	5.285	2.957	4.383	
taparse	0.202749				
terapia	7.763822	3.642		4.585	
test	4.678073	6.014	5.987	5.339	
tos	2.358817	6.055	5.414	5.979	
vacuna	1.473643	5.803	4.574	4.917	
virtual	1.184354				
virus	4.668183				
vuelta	58.713283	6.438	4.611	4.021	
entretenimento	0.042033				
felicidad	14.941648	6.078	4.022	3.681	
risa	7.978934	6.752	5.687	5.645	
diversión	15.139452	6.504	5.634	3.760	
enojo	2.920087	3.802	4.086	3.965	
temor	6.426170	6.086	3.555	2.710	
sorpresa	30.234398	6.387	5.229	4.207	
asombro	1.157156	5.207	4.840	4.112	
concentración	4.806646	5.497	4.261	4.263	
enfocarse	0.269508				
confusión	6.327267	5.811	3.966	4.043	
desconcierto	0.264563	4.806	3.109	3.665	
calma	26.748096	5.899	4.113	4.311	
relajación	0.670062	6.119	4.932	3.926	
desprecio	3.273662	5.847	3.731	3.827	
desconfianza	1.078034	5.451	3.449	3.566	
paz	45.729898	6.274	3.695	4.566	
deseo	30.617644	6.145	4.679	3.828	
lujuria	1.995352	4.861	3.608	4.908	
seducción	0.946988	4.688	4.661	3.711	
decepción	3.508555	3.753		5.226	
frustración	1.678865	6.075	3.520	3.403	
lamento	36.588864	5.555	4.607	3.878	
preocupación	8.955593	6.299	3.835	3.780	
