"cue","response","correction"
"presidente","capas","capaz"
"Montevideo","canelones","Canelones"
"montevideo","canelones","Canelones"
"progreso","canelones","Canelones"
"haber","alla","haya"
"parque","rodo","Rodó"
"parque","rodó","Rodó"
"goma","Eva","EVA"
"goma","eva","EVA"
"manzana","eva","Eva"
"dado","asar","azar"
"juego","asar","azar"
"acaso","si","si"
"condición","si","si"
"condicional","si","si"
"cocinar","cocer","cocer"
"ahí","esta","está"
"ella","el","él"
"alguien","el","él"
"quien","el","él"
"tu","el","él"
"yo","el","él"
"otro","el","él"
"fantasma","opera","ópera"
"duelo","perdida","pérdida"
"fuga","perdida","pérdida"
"funeral","perdida","pérdida"
"llanto","perdida","pérdida"
"sin","perdida","pérdida"
"cuchara","revolver","revolver"
"cucharón","revolver","revolver"
"espátula","revolver","revolver"
"pensar","revolver","revolver"
"cáncer","mama","mama"
"toma","bebe","bebe"
"dólar","usa","USA"
"sucedido","paso","pasó"
"mamífero","mama","mama"
"metros","oca","OCA"
"puré","papa","papa"
"cura","papa","papa"
"iglesia","papa","papa"
"dios","papa","papa"
"comida","papa","papa"
"santo","tomas","Tomás"
"santo","tomás","Tomás"
"aviso","vos","voz"
"canción","vos","voz"
"cantante","vos","voz"
"cantar","vos","voz"
"canto","vos","voz"
"conciencia","vos","voz"
"conferencia","vos","voz"
"decir","vos","voz"
"dulzura","vos","voz"
"escucha","vos","voz"
"escuchar","vos","voz"
"garganta","vos","voz"
"grave","vos","voz"
"grito","vos","voz"
"gritos","vos","voz"
"habla","vos","voz"
"humana","vos","voz"
"llamado","vos","voz"
"mensaje","vos","voz"
"pito","vos","voz"
"radio","vos","voz"
"registro","vos","voz"
"ruido","vos","voz"
"sentidos","vos","voz"
"sonar","vos","voz"
"sonido","vos","voz"
"sonidos","vos","voz"
"tono","vos","voz"
"fila","india","india"
"indio","india","india"
"plumas","india","india"
"sigue","continua","continúa"
"capitalismo","usa","USA"
"Estados Unidos","usa","USA"
"extranjero","usa","USA"
"nasa","usa","USA"
"cuidadoso","cuidad","cuidado"
"grito","cuidad","cuidado"
"candado","cuidad","cuidado"
"ano","colon","colon"
"ciego","colon","colon"
"órgano","colon","colon"
"óseo","osea","ósea"
"cuerno","siervo","ciervo"
"rifle","siervo","ciervo"
